buurt;raster_groen_m2;raster_verhard_m2;raster_water_m2;raster_groen_pct;raster_verhard_pct;raster_water_pct;raster_groen_per_inw;raster_groen_per_hh;bgt_groen_m2;bgt_verhard_m2;bgt_water_m2;bgt_groen_pct;bgt_verhard_pct;bgt_water_pct;bgt_groen_per_inw;bgt_groen_per_hh;aantal_inwoners;aantal_huishoudens;oppervlakte_buurt
Hondsbos-Dever;140620,94;104220,5;8661,44;55,47;41,11;3,42;96,65;188,75;66921,05;191961,85;10056,96;24,88;71,38;3,74;45,99;89,83;1455;745;253503,33481405585
Karolingenbuurt;31826,94;150198,56;11839,75;16,42;77,48;6,11;21,22;39,29;8999,12;209492,77;12738,84;3,89;90,6;5,51;6,0;11,11;1500;810;193864,79443890598
Kleverpark-noord;119989,94;188899,31;10457,81;37,57;59,15;3,27;42,85;100,83;22242,15;308657,32;10795,16;6,51;90,33;3,16;7,94;18,69;2800;1190;319345,09465516737
Kleverpark-zuid;77938,31;181675,25;5940,62;29,35;68,41;2,24;28,19;64,95;14880,77;262183,9;6940,86;5,24;92,32;2,44;5,38;12,4;2765;1200;265552,6183350079
Koninginnebuurt;106459,75;208814,69;10450,12;32,68;64,11;3,21;36,52;76,04;10555,91;320272,87;11113,39;3,09;93,66;3,25;3,62;7,54;2915;1400;325724,7035155679
Kruidenbuurt;94658,75;145094,31;3860,81;38,86;59,56;1,58;42,26;74,24;42353,53;212442,11;4822,1;16,31;81,83;1,86;18,91;33,22;2240;1275;243611,1367594384
Kruistochtbuurt;40765,81;153170,94;12780,19;19,72;74,1;6,18;18,12;34,11;12286,0;198145,22;13837,26;5,48;88,35;6,17;5,46;10,28;2250;1195;206714,01353931744
Kunstschildersbuurt;109101,5;128095,56;3956,62;45,24;53,12;1,64;54,82;123,28;67914,79;220171,42;4346,05;23,22;75,29;1,49;34,13;76,74;1990;885;241153,30717425302
Kweektuinbuurt;146829,31;69488,81;8296,31;65,37;30,94;3,69;123,91;326,29;66377,07;193386,44;8790,9;24,72;72,01;3,27;56,01;147,5;1185;450;224614,86041651136
Landenbuurt;81486,69;126454,69;0,0;39,19;60,81;0,0;36,38;73,08;31324,62;196012,16;172,23;13,77;86,16;0,08;13,98;28,09;2240;1115;207943,90595444635
Leidsebuurt-oost;31695,5;127666,62;7871,5;18,95;76,34;4,71;14,54;28,05;5198,22;162892,14;7543,67;2,96;92,75;4,3;2,38;4,6;2180;1130;167233,42901634102
Leidsebuurt-west;38134,88;138286,94;513,62;21,55;78,16;0,29;14,18;29,22;5786,56;178067,37;614,46;3,14;96,53;0,33;2,15;4,43;2690;1305;176934,85470771987
Medanbuurt;26020,12;109285,56;3813,56;18,7;78,56;2,74;12,69;29,4;1669,29;139378,63;3789,85;1,15;96,23;2,62;0,81;1,89;2050;885;139118,89571548358
